代码,名称,总市值
159371,创50ETF富国,184186038
159716,深创100ETF,107882721
516110,汽车ETF,670578060
159964,创业板ETF平安,575784281
515120,创新药ETF,3640599619
159793,线上消费ETF平安,46104283
159836,创300ETF,193691023
159370,创50ETF工银,81352866
159721,深创龙头ETF,47664220
159150,深证50ETF易方达,207257136
159335,央企科创ETF,452109737
517800,人工智能50ETF,214012617
159709,物联网ETF工银,86543921
513750,港股非银ETF,795809522
588760,人工智能ETF科创,312079294
159821,BOCI创业板ETF,37043520
515860,科技ETF基金,198524563
159681,创50ETF,1941096987
560800,数字经济ETF,829615514
159541,创业板综ETF万家,287336311
159542,工程机械ETF,25168435
159949,创业板50ETF,28878331601
516190,文娱传媒ETF,32394468
159814,创业大盘ETF,736204774
159976,湾创ETF,121636122
159676,创业板增强ETF富国,266504684
513900,港股通100ETF,154525518
516660,新能源车ETF基金,360905694
159909,TMT50ETF,440936202
588790,科创AIETF,1213873468
159658,数字经济ETF,223807130
159682,创业50ETF,5618592205
159985,豆粕ETF,3480533545
515090,可持续发展ETF,10606049
159796,电池50ETF,925283934
159807,科技ETF,1039887255
159720,智能电车ETF泰康,57579089
159835,创新药50ETF,122354758
513550,港股通50ETF,2742861888
159886,机械ETF,44550235
159752,新能源龙头ETF,336516606
515800,800ETF,5794457915
159350,深证50ETF富国,389795500
516800,智能制造ETF,187641876
159596,A50ETF华宝,1294466819
159961,深100ETF方正富邦,503139652
159512,汽车ETF,97601305
512770,战略新兴ETF,219041654
560990,中金科技先锋ETF,32134145
516050,科技龙头ETF,454540756
562010,绿色能源ETF,17883843
159595,中证A50ETF基金,7168487026
159375,创业板50ETF国泰,68347357
512970,大湾区ETF,74684562
159902,中小100ETF,448071441
159811,5G50ETF,119624713
513660,恒生ETF,4863882265
159326,电网设备ETF,61385688
516960,机械ETF,17426632
159775,新能源车电池ETF,68232887
159939,信息技术ETF,1760689468
159656,300成长ETF,140423876
159906,深成长龙头ETF,136105981
513290,纳指生物科技ETF,1714739659
512520,MSCIETF,79399793
588930,科创板人工智能ETF,433710113
560350,中证A50ETF指数基金,3782859012
588730,科创人工智能ETF,211757441
515000,科技ETF,3401645519
561230,中证A50ETF基金,2464160490
515580,科技100ETF,477231451
159573,创业板200ETF华夏,285983964
159597,创业板成长ETF易方达,112365817
159918,中创400ETF,78323801
159591,中证A50ETF,1615792098
159901,深证100ETF,6941396027
512330,信息科技ETF,599099280
159563,创业板综ETF华夏,57669828
560000,智慧电车ETF,12796259
563080,中证A50ETF易方达,5493718884
561130,国货ETF,169336225
588350,双创50ETF基金,1598951032
517850,张江ETF,64822310
588390,科创创业50ETF,268339620
561950,500指数增强ETF,71646948
159936,可选消费ETF,303420051
159637,新能源车龙头ETF,951252205
159675,创业板增强ETF,184028755
159912,深300ETF,135501037
159602,中国A50ETF,1220754671
159383,创业板50ETF华泰柏瑞,238217318
561000,沪深300ETF增强基金,143041920
159970,深100ETF工银,15510068
159903,深成ETF,557469857
159969,深100ETF银华,19020005
159312,恒生ETF港股通,70967910
159875,新能源ETF,979930595
159920,恒生ETF,20078461889
560050,MSCI中国A50ETF,5406431433
515680,央企创新ETF基金,1945916821
159367,创业板50ETF华夏,292086684
159973,民企ETF,278567157
563000,中国A50ETF,4517285150
159935,中证500ETF景顺,66094552
159523,沪深300成长ETF,77254247
561900,沪深300ESGETF,49959565
159373,创业板50ETF嘉实,320184770
512910,中证A100ETF,339423437
159974,央企创新ETF,247400740
561880,A100ETF基金,193285393
516090,新能源ETF易方达,679963334
510380,国寿300ETF,1786959922
159592,A50ETF基金,2817208066
159323,港股通汽车ETF,208766427
159507,电信ETF,43217799
562890,中证A50指数ETF,481951455
159943,深证成指ETF,215899721
159593,中证A50指数ETF,8681163025
562000,中证A100ETF基金,3037114509
588400,科创创业指数ETF,1938409554
515250,智能汽车ETF,793138666
562390,中药50ETF,64568988
562310,沪深300成长ETF,1005621253
159786,VRETF,138442047
510900,H股ETF,11402895755
159923,中证A100ETF基金,41169316
515900,央企创新驱动ETF,3675634935
588380,双创50ETF,2637164291
515600,央企创新ETF,1961304974
159655,标普ETF,1156973449
159603,双创龙头ETF,2553063865
588300,双创ETF,1900689824
510770,G60创新ETF,21819977
159576,深证100ETF广发,84047458
560960,碳中和60指数ETF,28336724
560380,A100ETF南方,233326722
560180,ESG300ETF,36065839
159659,纳斯达克100ETF,5093633183
588360,科创创业ETF,494242603
561510,中药ETF华泰柏瑞,94580622
159571,创业板200ETF富国,69697358
159686,A100ETF易方达,72468371
159695,通信ETF,89549671
159601,A50ETF,3868248819
562880,电池ETF基金,333359991
517770,游戏传媒ETF,34595190
159380,A500ETF东财,517798574
563350,中证A50ETF,1145729211
159850,恒生国企ETF,1213502402
159620,500成长ETF,37379592
517080,沪港深500ETF基金,442469934
516330,物联网ETF,49824192
512580,环保ETF,1256248572
517100,AH500ETF,316260598
159338,中证A500ETF,28243419945
513600,恒生指数ETF,1591793586
562360,机器人ETF基金,258306202
560060,碳中和ETF,253663130
561500,漂亮50ETF,70481595
159501,纳斯达克指数ETF,7537104541
561380,电网ETF,98003674
159647,中药ETF,665944910
513870,纳指ETF富国,1697375313
513110,纳斯达克100ETF,3426842855
562580,可选消费ETF,34783916
513030,德国ETF,1123820921
563280,A50增强ETF,14015380
159572,创业板200ETF易方达,917692903
159510,沪深300价值ETF,166128973
512870,杭州湾区ETF,40059502
512070,证券保险ETF,8266238609
159386,A500ETF永赢,280191987
516070,低碳ETF易方达,275240700
159795,智能汽车ETF基金,43773846
159362,A500ETF工银,4267094715
563860,A500ETF海富通,1575657813
515130,沪深300ETF博时,341157758
159357,中证A500指数ETF,6277771966
159318,恒生港股通ETF,49264449
159606,中证500成长ETF,484376663
159922,中证500ETF,12419056906
159685,1000增强ETF天弘,24166709
159518,标普油气ETF,458099463
510550,方正中证500ETF,35377517
159661,中证A100指数ETF,39879737
159696,纳指ETF易方达,1975952752
159782,双创50ETF,1090477597
159379,A500ETF融通,648774331
510570,兴业中证500ETF,28268555
159982,中证500ETF鹏华,345283626
159975,深100ETF招商,62237776
512550,A50ETF基金,438270402
588330,双创龙头ETF,1330136618
513210,恒生ETF易方达,66047394
560080,中药ETF,1902323438
159528,国企改革ETF,52575944
516850,新能源ETF基金,105396507
515810,中证800ETF,341007802
159337,中证500ETF基金,1306372318
561180,A100ETF,141348710
159706,深证100ETF华安,59346949
510590,中证500ETF平安,734856585
512050,A500ETF基金,21156900411
563800,中证A500ETF龙头,21163106733
560610,A500指数ETF,13213076860
516830,300ESGETF,167403188
516160,新能源ETF,4712989974
512950,央企改革ETF,5974458394
159960,恒生中国企业ETF,565175595
515350,民生加银300ETF,124849290
159701,物联网ETF招商,23743700
563520,沪深300ETF永赢,1488683708
510530,中证500ETF工银,370154714
159361,A500ETF易方达,16954893949
159353,中证A500ETF景顺,15783061590
561990,沪深300增强ETF,876505260
159351,A500指数ETF,14103662031
515390,沪深300ETF指数基金,775266237
159630,A100ETF基金,21330938
516320,高端装备ETF,85369029
560530,中证A500ETF摩根,11379921313
510350,沪深300ETF工银,5351047669
512650,长三角ETF,384090425
560170,央企科技ETF,1492157053
563220,中证A500ETF富国,20515371843
159717,ESGETF,70969521
159679,中证1000增强ETF,183283337
159631,中证A100ETF,129242594
588310,双创ETF基金,87272813
159359,中证A500ETF华安,4369958728
159565,汽车零部件ETF,74573838
561160,锂电池ETF,663143019
513990,港股通ETF,65280000
512020,A500ETF指数,4682284029
561190,双碳ETF,728308224
159360,中证A500ETF天弘,4682389190
515910,质量ETF,239831095
159889,智能汽车ETF,59919217
563500,中证A500ETF华宝,2525371852
530300,上证180ETF华泰柏瑞,133143361
510990,180ESGETF,51310689
159358,中证A500ETF基金,3466059608
159529,标普消费ETF,664506505
159919,沪深300ETF,158034393439
510310,沪深300ETF易方达,247386888312
562560,信息技术ETF,40904541
563330,A股ETF,120899537
510500,中证500ETF,103409375933
530280,上证180ETF指数基金,24795624
159577,美国50ETF,1331040864
560750,A500ETF申万菱信,306336992
512080,A500ETF中金,1843073540
159300,300ETF,3594458392
516520,智能驾驶ETF,376044233
510150,消费ETF,1793460412
159895,物联网ETF易方达,75333547
588230,科创200ETF,257498133
159690,矿业ETF,12747849
513850,美国50ETF,2275719819
512400,有色金属ETF,5208576255
159376,A500ETF指数基金,652963048
512090,MSCIA股ETF易方达,439428617
561200,中证A100ETF工银,49266954
159965,央视50ETF,68911363
159925,沪深300ETF南方,5077966705
515360,方正沪深300ETF,200759200
510510,中证500ETF基金,2231410284
512260,中证500低波动ETF,64674827
510360,沪深300ETF基金,10463588622
159968,中证500ETF博时,753809488
159305,储能电池50ETF,37615501
510390,沪深300ETF平安,602565600
159641,双碳ETF,305717466
159880,有色ETF基金,110574279
510020,超大盘ETF,131515868
159791,300ESGETF,36777430
510300,沪深300ETF,360407995474
510330,沪深300ETF华夏,166505659195
159871,有色金属ETF,114111652
512150,A50ETF,159369275
560500,500质量成长ETF,633585380
512990,MSCIA股ETF,261811040
159954,H股ETF,503124834
